
,,,,,,,,,,,p6,,,,,soc,p6,,,,,,,sci,p6,,,,,,thai,p6,,,,eng,p6,,,,,,,,,
,,,,,,,,,math,p6,,,,,,p5,gifted,,,,,,p5,gifted,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,สตางค์,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,sci,m3,,,,,,,math,m3,,,,,,,,thai,m3,,,,,,soc,m3,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,





,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,








,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


,,,,,,,,,,,,,,,,math,m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,,,,,,,,,,,,,,,

,8,8.15,8.3,8.45,9,9.15,9.3,9.45,10,10.15,10.3,10.45,11,11.15,11.3,11.45,12,12.15,12.3,12.45,13,13.15,13.3,13.45,14,14.15,14.3,14.45,15,15.15,15.3,15.45,16,16.15,16.3,16.45,17,17.15,17.3,17.45,18,18.15,18.3,18.45,19,19.15

,R1,,,,,,,,,,,,thai ,p5,,,soc,p5,,,,,,,,,,,,,eng,m3,,,,,,,,,,,,,,

,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,R6,,,,eng,p2,,,thai,p1-2,,,,math,p2,,,,,,,,math,p6,,,,,,,,,,,,,,,,,,,,,,

,R7,,,,math,p3,,,,eng,p3,,,,sci,p3,,,,,,,,,,,,phy,m4,,,,,,phy,m5,,,,,,,,,,

,R8,,,,,soc,p6,A,,,,sci,p6,A,,,,,,,,P6 B,,P6 A,,,,,,eng,p6 B,,,,,,thai,p6 B,,,,,,,,

,R9,,,,,sci,p6,B,,,,soc,p6,B,,,,,,,sci2,m3,,,,,,math,m5,,,,,,chem,m4,,,,,,,,,,

,R10,,,,,,,,,,chem,m5,,,,eng,lv6,,,,,eng,lv7,,,,,phy,m4,,,,,,phy,m5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R11,,,,,,,,,math,m4,,,,,,,,รวม,p6 AB,,,,eng,p5,,,,,sci,p5,,,math,p5,,,,,,,,,,,

,R12,,,,sci,p4,,,,math,p4,,,,eng,p4,,,,,,thai ,p4,,,soc,p4,,,,thai,p6 A,,,,eng,p6,A,,,,,,,,


,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


,R1,,,,,,,sci,m3,,,,,,,math,m3,,,,,,,,thai,m3,,,,,,soc,m3,,,,,,,,,,,,,

,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,R6,,,,,,,,,,,,,,,,,,,,,,,สตางค์,,,,,,,,,,,,,,,,,,,,,,

,R7,,,,,,,,,,,,,,sci,p6 A,,,,,,,,soc,p6 A,,,,,eng,p6 A,,,,,,thai,p6 A,,,,,,,,

,R8,,,,,,thai ,m1,,,soc,m1,,,,,eng,lv4,,,,,eng,lv5,,,,,,sci,m2,,,,,,sci,m1,,,,,,,,

,R9,,,,,,soc,m2,,,thai ,m2,,,,,,,,,,,,,,,,,,sci,m2,,,,,,sci,m1,,,,,,,,

,R10,,,,,,,,A,p6,p6,B,,,,soc,p6 B,,,,,,,sci,p6 B,,,,,,thai,p6 ,B,,,eng,p6 A,B,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R11,,,,,รวม,P6 AB,,,,,,,,,,,,,,,,,,,,,,,math,m1,,,,,,math,m2,,,,,,,,

,R12,,,,,,,,math,p6,,,,,,p5,gifted,,,,,,p5,gifted,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,






,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,,,,,,,,,,,,,,,


,,8,8.15,8.3,8.45,9,9.15,9.3,9.45,10,10.15,10.3,10.45,11,11.15,11.3,11.45,12,12.15,12.3,12.45,13,13.15,13.3,13.45,14,14.15,14.3,14.45,15,15.15,15.3,15.45,16,16.15,16.3,16.45,17,17.15,17.3,17.45,18,18.15,18.3,18.45,19
,,,,,,,sci,p6,,,,,,soc,p6,,,,,รวม,,,math,p6,,,,,eng,p6,,,,,,thai,p6,,,,,,,,,
,,,,,,,soc,p6,,,,,sci,p6,,,,,,,,,,,p6,,,,thai,p6,,,,,eng,p6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,math,p6,,,,,,,,,,,,,,,,,,,,,


,,,,,,,,,,,,chem,m5,,,,eng,lv6,,,,,,,,,,,math,m5,,,,,,phy,m5,,,,,,,,,
,,,,,,,,,,,math,m4,,,,,,,,,,,eng,lv7,,,,,phy,m4,,,,,,chem,m4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gifted,m1,,,,gifted ,m1,
,,,,,,,,,,,,math,p4,,,,,,,,,,,,,,,,,,,,,,,,,,gifted ,m2,,,,gifted,m1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,thai ,p4,,,,,,,,,,math,p5,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


,,,,,,,,,,,,,thai ,p5,,,,soc,p5,,,,,eng,p5,,,,,,sci,p5,,,,,,,,,,,,,,


,,,,,,,sci,p4,,,,,,,,,eng,p4,,,,,soc,p4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,eng,p3,,,,math,p3,,,,sci,p3,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,eng,p2,,,,math,p2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,math,p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,








,,,,,,,,,,,,,,,,,,,,,,,,sci2,m3,,,,,,,,eng,m3,,,,,,,,,,,,







,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,



,,8,8.15,8.3,8.45,9,9.15,9.3,9.45,10,10.15,10.3,10.45,11,11.15,11.3,11.45,12,12.15,12.3,12.45,13,13.15,13.3,13.45,14,14.15,14.3,14.45,15,15.15,15.3,15.45,16,16.15,16.3,16.45,17,17.15,17.3,17.45,18,18.15,18.3,18.45,19,19.15,19.3,19.45,20
,,,,,,,,,ทักษะ ,p1-2,,,,math,p2,,,eng ,p2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,math,p3,,,thai,p3,,,,eng,p3,,,sci ,p3,,fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,thai p4,,,,eng,p4,,,,,,soc,p4,,,,sci,p4,,,math,p4,,fix,p4,,,,,,,,,,,,

,,,,gifted,p5,,,,,gifted,p5,,,,,,sci,p5,,,,,,,thai p5,,,,soc,p5,,,,eng,p5,,,,,,math,p5,,,fix ,,,,,

,,,,,gifted,p6,,,,,gifted ,p6,,,,,math ,p6,,,,,,,,eng,p6,,,,thai,p6,,,,soc,p6,,,,sci,p6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s m1,math,,,,,,gifted,m1,,,gifted m1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gifted,m2,,,gifted,m2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,




,,,,,,,,,,,,,,,,,,,,,,,,,,,,fix,fix,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,math,p5,,,,,sci,p5,,,,,,,thai,p5,,,soc,p5,,,,eng,p5,,,,,,,,,,,,,,,,,

,,,,,fix,p6,,,eng,p6,,,,,,,,,,,,,,,,,thai,p6,,,,,,soc,p6,,,,,,,,,,,,,,,

,,,,,,,,,sci,m1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,sci,m1,,,,,soc m1,,,,,,eng,lv4,,,,,,,,,thai,m1,,,,,,,,,,sci,s,m1,,,,,,

,,,s m2,sci,,,,,,,,,,,sci,m2,,,,,,,,,eng ,lv5,,,,,soc,m2,,,,math ,m2,,,,,math,s,m2,,,,,,
,,,,,,,,,,,,,,,sci,m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,math,m1,,,,,,thai,m3,,,,,,,,math,m3,,,,,sci,m3,,,,,,eng,m3,,,,,,,,,,,,


,,,,,,,,,thai,m2,,,,,,,,,,,,,soc,m3,,,,,,,,,,,,,,,,,,,,,,,,,,


,,,,,,,,,,,,,,,,,,,fix,fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,sci,p6,,,,,,,,,,,,,math,p6,,,,,,,,,,,,,,,,,,,




,,,,,,,,,,,,,fix,fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,fix,fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
