Timestamp,ประเมินพี่,น้องเรียนอยู่ชั้น,อยากเรียนต่อกับพี่เค้าแค่ไหน,น้องเรียนที่นี่เทอมนี้กี่วิชา,น้องเรียนที่ Super Genius มานานยัง,เรียนกับพี่เค้าตรงกับที่โรงเรียนไหม (ดีมาก=4 ไม่ดีเลย=1),เรียนรู้เรื่องไหม (ดีมาก=4 ไม่ดีเลย=1),เรียนสนุกไหม (สนุกมาก=4 น่าเบื่อสุดๆ=1),ชีทหรือหนังสือพี่เค้าดีไหม (ตอบได้หลายข้อ),เสียงพี่เค้าดังเหมาะสมไหม,"พี่เค้าเอาใจใส่เราดีไหม (ดีมาก=4 , ไม่สนใจเราเลย=1)","รวมๆแล้วพี่เค้าสอนดีไหม (ดีมาก=4 , ไม่ดีเลย=1)",พี่เค้าสอนเร็วไหม,"ความรู้ที่ได้จากพี่เค้าเยอะไหม (ได้เยอะมาก=4 , ไม่ได้เลย =1)",สนิทกับพี่เค้าไหม,พี่เค้าเก่งไหม มีเทคนิค หรือการอธิบาย การยกตัวอย่างเป็นยังไงบ้าง,ข้อเสียของพี่เค้าคือไร จัดเต็มเลยครับ เต็มที่
8/27/2016 14:45:05,พี่วิน (คณิตป.5-ม.6),ป.5,ก็ดีนะ,5,นี่เทอมแรก,3,3,1,โจทย์ยากไป,ดังฟังชัดดี,4,4,สอนเร็ว,3,ไม่ค่อย,เก่งมาก ยกตัวอย่างดี อธิบายเป๊ะ,หลงตัวเอง เก๊กหล่อ
8/27/2016 15:51:40,พี่วิน (คณิตป.5-ม.6),ป.6,ก็ดีนะ,5,นี่เทอมแรก,3,3,4,โจทย์ยากไป,ดังไป,3,4,สอนเร็วมาก,4,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,พูดเร็วเกิ๊นนนน
8/27/2016 16:08:12,พี่วิน (คณิตป.5-ม.6),ป.5,ก็ดีนะ,5,ปีกว่าละ,3,3,3,โจทย์ยากไป,ดังไป,4,4,สอนเร็วมาก,4,สนิท คุยเล่นได้สบายๆ,เก่งมาก ยกตัวอย่างดี อธิบายเป๊ะ,พูดจาไม่ไพเราะ
8/27/2016 16:08:23,พี่วิน (คณิตป.5-ม.6),ป.5,ก็ดีนะ,5,ปีกว่าละ,3,3,3,โจทย์ยากไป,ดังไป,4,4,สอนเร็ว,3,ไม่ค่อย,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,พูดเร็ว
8/27/2016 16:08:24,พี่วิน (คณิตป.5-ม.6),ป.5,ก็ดีนะ,5,ปีกว่าละ,3,3,3,โจทย์ยากไป,ดังไป,4,4,สอนเร็ว,3,ไม่ค่อย,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,พูดเร็ว
8/27/2016 16:10:27,พี่วิน (คณิตป.5-ม.6),ป.5,ก็ดีนะ,5,ปีนึงละมั้ง,3,3,3,โจทย์ยากไป,ดังไป,3,3,สอนเร็ว,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่งมาก ยกตัวอย่างดี อธิบายเป๊ะ,พูดไม่ดีบ้าง
8/27/2016 16:14:58,พี่วิน (คณิตป.5-ม.6),ป.6,ก็ดีนะ,5,นี่เทอมแรก,4,4,4,ดีแล้วจ้า,ดังฟังชัดดี,4,4,พอดี,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,ไมีมี
8/27/2016 17:27:22,พี่วิน (คณิตป.5-ม.6),ป.5,ก็ดีนะ,2,นี่เทอมแรก,2,3,3,โจทย์ยากไป,ดังฟังชัดดี,4,4,สอนเร็วมาก,4,ไม่ค่อย,เก่งมาก ยกตัวอย่างดี อธิบายเป๊ะ,ให้ข้อสอบยากไป สอนเร็วเกินไป
8/27/2016 17:44:42,พี่วิน (คณิตป.5-ม.6),ป.5,ก็ดีนะ,5,สองปีแล้ว,3,3,4,โจทย์ยากไป,ดังฟังชัดดี,3,3,พอดี,4,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่งมาก ยกตัวอย่างดี อธิบายเป๊ะ,พูดเร็วฯลฯ
8/27/2016 20:38:54,พี่วิน (คณิตป.5-ม.6),ป.5,ก็ดีนะ,4,ปีนึงละมั้ง,2,3,2,"โจทย์ยากไป, ช้า",ดังไป,2,2,สอนเร็วมาก,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่งมาก ยกตัวอย่างดี อธิบายเป๊ะ,ก็ดี
8/27/2016 20:38:55,พี่วิน (คณิตป.5-ม.6),ป.5,ก็ดีนะ,4,ปีนึงละมั้ง,2,3,2,"โจทย์ยากไป, ช้า",ดังไป,2,2,สอนเร็วมาก,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่งมาก ยกตัวอย่างดี อธิบายเป๊ะ,ก็ดี
8/28/2016 10:12:47,พี่วิน (คณิตป.5-ม.6),ป.6,ก็ดีนะ,5,ปีกว่าละ,3,3,3,โจทย์ยากไป,ดังฟังชัดดี,4,3,สอนเร็ว,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,สอนค่อนข้างเร็ว บางวิชาไม่ค่อยสนุก
8/28/2016 14:08:03,พี่วิน (คณิตป.5-ม.6),ม.3,ก็ดีนะ,5,นี่เทอมแรก,3,3,3,ดีแล้วจ้า,ดังฟังชัดดี,2,4,สอนเร็ว,3,ไม่ค่อย,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,Late
8/28/2016 14:23:47,พี่วิน (คณิตป.5-ม.6),ป.6,ก็ดีนะ,5,นี่เทอมแรก,3,3,4,บางทีก็อยากบางทีก็ง่าย,ดังฟังชัดดี,4,4,สอนเร็ว,3,ไม่สนิทเลย,กลางๆ ยกตัวอย่างเข้าใจบ้าง ไม่เข้าใจบ้าง อธิบายโอเค,ให้เวลาทำน้อย
8/28/2016 14:27:15,พี่วิน (คณิตป.5-ม.6),ป.6,ก็ดีนะ,5,นี่เทอมแรก,3,4,4,โจทย์ยากไป,ดังฟังชัดดี,4,4,สอนเร็ว,3,สนิท คุยเล่นได้สบายๆ,เก่งมาก ยกตัวอย่างดี อธิบายเป๊ะ,ไม่มี
8/28/2016 14:48:32,พี่วิน (คณิตป.5-ม.6),ม.3,ก็ดีนะ,2,ปีกว่าละ,4,3,4,ดีแล้วจ้า,ดังฟังชัดดี,3,3,สอนเร็ว,4,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่งมาก ยกตัวอย่างดี อธิบายเป๊ะ,"สอนเร็ว
ปล่อยเลท
ให้เวลาทำtestน้อย"
8/28/2016 15:55:15,พี่วิน (คณิตป.5-ม.6),ม.1,ก็ดีนะ,5,ปีนึงละมั้ง,4,3,3,ดีแล้วจ้า,ดังฟังชัดดี,3,4,สอนเร็ว,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,กลางๆ ยกตัวอย่างเข้าใจบ้าง ไม่เข้าใจบ้าง อธิบายโอเค,พี่สอนเร็วไปนิดนึงแค่นี้แหละค่ะนอกนั้นก็ดีหมดเลย อยากให้พี่สอนต่อไปดีแล้วการสอนเร็วบ้างก็ดีจะได้ฝึกคิดฝึกทำที่เร็วขึ้น
8/28/2016 16:00:51,พี่วิน (คณิตป.5-ม.6),ม.1,ก็ดีนะ,5,นี่เทอมแรก,3,3,4,ดีแล้วจ้า,ดังฟังชัดดี,4,4,สอนเร็ว,3,ไม่ค่อย,เก่งมาก ยกตัวอย่างดี อธิบายเป๊ะ,....🌤
8/28/2016 16:01:12,พี่วิน (คณิตป.5-ม.6),ม.1,ก็ดีนะ,5,นี่เทอมแรก,3,3,4,ดีแล้วจ้า,ดังฟังชัดดี,3,4,พอดี,4,ไม่ค่อย,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,...🌝
8/28/2016 17:48:36,พี่วิน (คณิตป.5-ม.6),ม.1,ก็ดีนะ,5,ปีนึงละมั้ง,2,3,3,"โจทย์ยากไป, เยอะไป",ดังฟังชัดดี,3,3,พอดี,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,ให้เวลาน้อยไปตอนtest 
8/28/2016 18:00:47,พี่วิน (คณิตป.5-ม.6),ม.1,ก็ดีนะ,2,เกิน 2 ปีแล้วจ้าา,3,3,4,ดีแล้วจ้า,ดังฟังชัดดี,4,4,พอดี,4,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่งมาก ยกตัวอย่างดี อธิบายเป๊ะ,ไม่มีค้าา
8/31/2016 17:32:12,พี่วิน (คณิตป.5-ม.6),ม.3,ก็ดีนะ,5,นี่เทอมแรก,3,3,3,โจทย์ยากไป,ดังฟังชัดดี,3,3,พอดี,3,สนิท คุยเล่นได้สบายๆ,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,ไม่มี
9/4/2016 10:45:38,พี่วิน (คณิตป.5-ม.6),ม.3,ก็ดีนะ,5,นี่เทอมแรก,4,4,4,ดีแล้วจ้า,ดังฟังชัดดี,4,3,สอนเร็ว,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,เลิกเรียนไม่ตรงเวลา
9/6/2016 15:58:09,พี่วิน (คณิตป.5-ม.6),ป.6,ก็ดีนะ,2,ปีกว่าละ,4,4,4,ดีแล้วจ้า,ดังฟังชัดดี,4,4,พอดี,4,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,ชอบหลงตัวเอง คิดว่าตัวเองหล่อ
9/12/2016 12:41:09,พี่วิน (คณิตป.5-ม.6),ม.6,ก็ดีนะ,4,นี่เทอมแรก,3,4,3,"โจทย์ยากไป, ดีแล้วจ้า",ดังฟังชัดดี,3,4,พอดี,3,สนิท คุยเล่นได้สบายๆ,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,ไม่รู้
9/12/2016 12:42:32,พี่วิน (คณิตป.5-ม.6),ม.3,ก็ดีนะ,5,นี่เทอมแรก,3,2,4,"โจทย์น้อยไป, ไม่ค่อยน่าเรียน",ดังฟังชัดดี,4,3,สอนเร็วมาก,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,"สอนเร็วเกินไป ให้เวลาทำโจทย์เเต่ละข่อน้อยไป
หนังสือควรเขียนวิธีการอธิบายให้ด้วย. ไม่ใช่เเค่ใส่โจทย์ให้อย่างเดียว"
9/12/2016 12:44:11,พี่วิน (คณิตป.5-ม.6),ม.5,ก็ดีนะ,1,นี่เทอมแรก,3,3,4,ดีแล้วจ้า,ดังฟังชัดดี,4,4,พอดี,4,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,ไม่บอกหรอก
9/12/2016 12:45:14,พี่วิน (คณิตป.5-ม.6),ม.4,ก็ดีนะ,4,เกิน 2 ปีแล้วจ้าา,3,3,4,โจทย์ยากไป,ดังฟังชัดดี,3,4,สอนเร็วมาก,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่งมาก ยกตัวอย่างดี อธิบายเป๊ะ,-
9/12/2016 12:50:52,พี่วิน (คณิตป.5-ม.6),ม.1,ก็ดีนะ,5,ปีนึงละมั้ง,3,3,4,ค่อนข้างดีแต่อธิบายไม่ค่อยเข้าใจ,ดังฟังชัดดี,3,4,สอนเร็ว,4,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,สอนเร็ว
9/12/2016 12:52:30,พี่วิน (คณิตป.5-ม.6),ม.3,ก็ดีนะ,5,ปีนึงละมั้ง,3,4,4,ดีแล้วจ้า,ดังฟังชัดดี,4,4,สอนเร็ว,3,ไม่ค่อย,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,ปล่อยเลท
9/12/2016 13:01:45,พี่วิน (คณิตป.5-ม.6),ม.3,ก็ดีนะ,2,นี่เทอมแรก,3,3,3,ดีแล้วจ้า,ดังฟังชัดดี,3,4,สอนเร็ว,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,สอนเร็วไปหน่อย 
9/12/2016 13:02:47,พี่วิน (คณิตป.5-ม.6),ม.4,ก็ดีนะ,4,นี่เทอมแรก,2,2,4,"โจทย์ยากไป, ดีแล้วจ้า",ดังฟังชัดดี,1,2,สอนเร็วมาก,2,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่งมาก ยกตัวอย่างดี อธิบายเป๊ะ,พี่วินสอนเร็วไปไอคนที่ได้ก็ดี แต่ไอคนที่ไม่ได้ก็พัง บางทีพี่ถามว่าเข้าใจมั้ย แน่นอนว่าไอคนที่ไม่ได้บางคนมันก็ต้องตอบว่าได้ตามเพื่อน ยิ่งแล้วบางคนไม่มีเพื่อนมาคนเดียว ยิ่งไม่กล้าเพราะ อาย อายเพื่อนใหม่ แต่มันก็อยู่ที่คนแหละครับจะมีความกล้ากับความตั้งใจแค่ไหน แล้วก็อยากให้พี่พูดคุยกับเด็กที่เพิ่งมาใหม่ๆ อย่างน้อยเขาก็รู้จักพี่ที่ไม่ใช่แค่ชื่อ แต่เพื่อเป็นความสนิทของพี่น้องครับ 
9/12/2016 13:18:52,พี่วิน (คณิตป.5-ม.6),ม.2,ก็ดีนะ,5,นี่เทอมแรก,3,4,4,ดีแล้วจ้า,ดังฟังชัดดี,4,3,พอดี,3,สนิท คุยเล่นได้สบายๆ,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,พี่วินชอบนอกเรื่อง
9/12/2016 13:27:58,พี่วิน (คณิตป.5-ม.6),ม.1,ก็ดีนะ,5,ปีนึงละมั้ง,4,4,4,เยอะเกิน,ดังไป,4,4,สอนเร็ว,4,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่งมาก ยกตัวอย่างดี อธิบายเป๊ะ,พักมากขึ้นนนนนน
9/12/2016 14:39:46,พี่วิน (คณิตป.5-ม.6),ม.2,ก็ดีนะ,5,นี่เทอมแรก,3,3,4,โจทย์น้อยไป,ดังฟังชัดดี,3,3,พอดี,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,กลางๆ ยกตัวอย่างเข้าใจบ้าง ไม่เข้าใจบ้าง อธิบายโอเค,ที่พี่วินสอนเนื้อหาไม่ค่อยครบและตรงกับที่โรงเรียนเท่าไหร่ 
9/12/2016 15:57:36,พี่วิน (คณิตป.5-ม.6),ม.2,ก็ดีนะ,5,นี่เทอมแรก,1,3,3,ดีแล้วจ้า,ดังฟังชัดดี,3,4,สอนเร็ว,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,ไม่มี
9/12/2016 16:27:11,พี่วิน (คณิตป.5-ม.6),ม.4,ก็ดีนะ,2,เกิน 2 ปีแล้วจ้าา,4,4,4,โจทย์ง่ายไป,ดังฟังชัดดี,4,4,พอดี,4,สนิท คุยเล่นได้สบายๆ,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,รักนะจุ้บๆ
9/12/2016 16:32:28,พี่วิน (คณิตป.5-ม.6),ม.1,ก็ดีนะ,5,ปีนึงละมั้ง,1,3,3,ดีแล้วจ้า,ดังฟังชัดดี,4,3,สอนเร็ว,3,ไม่ค่อย,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,พูดเร็วไป
9/12/2016 16:36:25,พี่วิน (คณิตป.5-ม.6),ม.5,ก็ดีนะ,1,ปีนึงละมั้ง,3,3,4,ดีแล้วจ้า,ดังฟังชัดดี,3,3,พอดี,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,กวนตีน
9/12/2016 16:49:12,พี่วิน (คณิตป.5-ม.6),ป.6,ก็ดีนะ,5,นี่เทอมแรก,4,4,3,โจทย์ยากไป,ดังฟังชัดดี,4,4,สอนเร็วมาก,3,ไม่ค่อย,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,ให้เวลาทำแบบฝึกหัดน้อยมากครับ ลายมือก็อ่านไม่ค่อยออกเท่าไร่ครับ XD
9/12/2016 17:00:35,พี่วิน (คณิตป.5-ม.6),ม.5,ก็ดีนะ,4,นี่เทอมแรก,3,3,3,ดีแล้วจ้า,ดังฟังชัดดี,3,3,สอนเร็ว,4,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,โอเคเเล้วครับ 
9/12/2016 17:33:57,พี่วิน (คณิตป.5-ม.6),ม.1,ก็ดีนะ,2,ปีกว่าละ,4,4,4,ดีแล้วจ้า,ดังฟังชัดดี,4,4,พอดี,4,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,เล่นเยอะไปในบางที
9/12/2016 20:50:49,พี่วิน (คณิตป.5-ม.6),ม.4,ก็ดีนะ,4,นี่เทอมแรก,4,4,4,โจทย์ยากไป,ดังฟังชัดดี,4,4,พอดี,4,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,ไม่รู้5555
9/13/2016 7:16:51,พี่วิน (คณิตป.5-ม.6),ม.2,ก็ดีนะ,5,นี่เทอมแรก,3,3,3,โจทย์ได้บ้างไม่ได้บ้าง,ดังฟังชัดดี,3,3,สอนเร็วมาก,3,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,ปล่อยช้าโคตรๆ ไปเร็วมากกกกกกตามไม่ทันบางทีก็ไม่เข้าใจ
9/13/2016 13:17:44,พี่วิน (คณิตป.5-ม.6),ม.2,ก็ดีนะ,2,นี่เทอมแรก,3,3,3,โจทย์ยากไป,ดังฟังชัดดี,3,3,สอนเร็วมาก,3,ไม่ค่อย,กลางๆ ยกตัวอย่างเข้าใจบ้าง ไม่เข้าใจบ้าง อธิบายโอเค,พี่สอนเร็วไปไม่ค่อยเข้าใจ แบบฝึกหัดยากไปหน่อย  แต่ถ้าเรียนเข้าใจแล้วก้รู้เรื่อง
9/13/2016 21:42:24,พี่วิน (คณิตป.5-ม.6),ป.6,ก็ดีนะ,5,นี่เทอมแรก,4,4,3,ดีแล้วจ้า,ดังฟังชัดดี,4,4,สอนเร็วมาก,4,ก็กลางๆ กล้าถามกล้าตอบอยู่,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,สอนเร็วมากแต่อย่างอื่นดีหมดครับรวมแล้วก็ดีครับ
8/26/2016 19:55:04,พี่วิน (คณิตป.5-ม.6),ป.2,เปลี่ยนครูเหอะ,เกิน 5,เกิน 2 ปีแล้วจ้าา,1,1,1,หมั่นใส้พี่วินอ้วนหมูตอน,ดังไป,1,1,สอนเร็วมาก,1,ไม่สนิทเลย,ไม่เก่งเลย ยกตัวอย่างไม่เข้าใจ อธิบายไรไม่รู้,ทุเรสอุบาสชาติชั่วอ้วนตุ๊ดตะโกนนนเเหกปาก
8/27/2016 17:59:18,พี่วิน (คณิตป.5-ม.6),ป.5,เปลี่ยนครูเหอะ,2,นี่เทอมแรก,2,2,2,โจทย์ยากไป,ดังไป,3,2,สอนเร็วมาก,1,ไม่สนิทเลย,กลางๆ ยกตัวอย่างเข้าใจบ้าง ไม่เข้าใจบ้าง อธิบายโอเค,สอนไวมาก สอนช้าลงหน่อยจะดีมาก
9/12/2016 13:36:16,พี่วิน (คณิตป.5-ม.6),ป.5,เปลี่ยนครูเหอะ,5,ปีนึงละมั้ง,2,2,1,"โจทย์ง่ายไป, ไม่ค่อยน่าเรียน, เรียนที่โรงเรียนสอบไปหมดเเล้ว",เบาไปหน่อย,2,2,สอนช้ามาก,2,ไม่ค่อย,ไม่ค่อยเก่ง ยกตัวอย่างยังงงๆบ้าง อธิบายมึนๆ,เรียนเเล้วไม่เค้าใจ
9/12/2016 14:46:12,พี่วิน (คณิตป.5-ม.6),ม.1,ไม่ค่อยอยาก,เกิน 5,ปีนึงละมั้ง,1,2,1,ไม่ค่อยน่าเรียน,ดังไป,1,3,พอดี,3,ไม่สนิทเลย,กลางๆ ยกตัวอย่างเข้าใจบ้าง ไม่เข้าใจบ้าง อธิบายโอเค,Fuck
9/12/2016 20:14:15,พี่วิน (คณิตป.5-ม.6),ป.5,ไม่ค่อยอยาก,5,ปีนึงละมั้ง,4,4,3,"โจทย์ง่ายไป, ไม่ค่อยน่าเรียน",ดังฟังชัดดี,3,3,สอนเร็ว,2,ไม่ค่อย,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,การบ้านเยอะ
9/16/2016 14:12:15,พี่วิน (คณิตป.5-ม.6),ม.2,ไม่ค่อยอยาก,เกิน 5,เกิน 2 ปีแล้วจ้าา,3,3,3,โจทย์ยากไป,ดังฟังชัดดี,3,3,สอนเร็วมาก,2,สนิท คุยเล่นได้สบายๆ,กลางๆ ยกตัวอย่างเข้าใจบ้าง ไม่เข้าใจบ้าง อธิบายโอเค,...
8/26/2016 19:40:01,พี่วิน (คณิตป.5-ม.6),ป.2,อยากเรียนต่อมาก,1,นี่เทอมแรก,4,4,4,โจทย์ง่ายไป,ดังฟังชัดดี,4,4,สอนเร็วมาก,4,สนิท คุยเล่นได้สบายๆ,เก่งมาก ยกตัวอย่างดี อธิบายเป๊ะ,กาก
8/27/2016 10:56:47,พี่วิน (คณิตป.5-ม.6),ม.5,อยากเรียนต่อมาก,2,ปีกว่าละ,4,4,4,ดีแล้วจ้า,ดังฟังชัดดี,4,4,พอดี,4,สนิท คุยเล่นได้สบายๆ,เก่งมาก ยกตัวอย่างดี อธิบายเป๊ะ,ออกนอกเรื่องบ่อย 
8/27/2016 10:59:06,พี่วิน (คณิตป.5-ม.6),ม.5,อยากเรียนต่อมาก,1,เกิน 2 ปีแล้วจ้าา,3,3,4,ดีแล้วจ้า,ดังไป,4,4,พอดี,4,สนิท คุยเล่นได้สบายๆ,เก่ง ยกตัวอย่างใช้ได้ อธิบายดี,บางทีพูดดังมากกกกกกบางทีอาจจะเพราะเป็นคนตลกไม่เครียดอยากให้น้องสนุกเลยอาจจะมีนอกเรื่องไปเยอะหน่อยเลยอาจจะทำให้บางทีสอนไม่ทันสอนช้าไปบ้างแต่ก็โอเคแล้วสนุกดีค่ะ จุ้บๆ
